PERIODO;COD;DESCRIPCION;LABORATORIO;COSTO;UND_VEND;VLR_VENTA;UTILIDAD;RENTABILIDAD;CLASIFICACION;PRECIO_UNITARIO;COSTO_UNITARIO;MARGEN_UNITARIO
MARZO-2026;6444;OMEPRAZOL 20 MG X 300 CAPS**;FARMACOL;194400.0;12.0;312000.0;117600.0;37.69;ALTO;26000.0;16200.0;9800.0
MARZO-2026;9001420;MONTELUKAST 10 MG X 30 TAB*;HETERO;511846.0;55.0;822000.0;310154.0;37.73;ALTO;14945.45;9306.29;5639.16
MARZO-2026;3833;AZITROMICINA 500 MG X 3 TAB;COASPHARMA;157366.0;46.0;253000.0;95634.0;37.8;ALTO;5500.0;3421.0;2079.0
MARZO-2026;6449;CALCITRIOL 0.5 MCG X 30 CAPS ***;COLMED;46000.0;10.0;74000.0;28000.0;37.84;ALTO;7400.0;4600.0;2800.0
MARZO-2026;9000298;ACEITE CORPORAL DE COCO X 120 ML;DROGAM;20800.0;4.0;33600.0;12800.0;38.1;ALTO;8400.0;5200.0;3200.0
MARZO-2026;7281;HERREX FOL JARABE X 120 ML ***;GRUPO FARMA;310189.0;10.0;501200.0;191011.0;38.11;ALTO;50120.0;31018.9;19101.1
MARZO-2026;9000232;SULTAMICILINA 250 MG X 100 ML (BACMICIN;BIOQUIFAR;188000.0;8.0;304000.0;116000.0;38.16;ALTO;38000.0;23500.0;14500.0
MARZO-2026;9001805;PIRACETAM 800 X 30 TAB;TECNOQUIMICAS;24600.0;2.0;39800.0;15200.0;38.19;ALTO;19900.0;12300.0;7600.0
MARZO-2026;9001442;CLOTRIMAZOL CREMA TOPICA X 40 GR;FARMIONI;142346.0;49.0;230300.0;87954.0;38.19;ALTO;4700.0;2905.02;1794.98
MARZO-2026;7080;PENICILINA G BENZATINICA 2.400 X AMP***;FARMALOGICA;49380.0;20.0;79900.0;30520.0;38.2;ALTO;3995.0;2469.0;1526.0
MARZO-2026;3342;TRAZIDEX GOTAS X 5 ML (TOBRAMI + DEXAM);SOPHIA;359230.0;37.0;581750.0;222520.0;38.25;ALTO;15722.97;9708.92;6014.05
MARZO-2026;63;RIFAMICINA SPRAY X 20 ML (RIFAPEN) ***;AH ROBINS;365473.0;32.0;592000.0;226527.0;38.26;ALTO;18500.0;11421.03;7078.97
MARZO-2026;333;CIPROFLOXACINO 500 MG X 10 TAB (PROCATEC;BCN;43120.0;10.0;69900.0;26780.0;38.31;ALTO;6990.0;4312.0;2678.0
MARZO-2026;3953;METROXAZIDE X 18 TAB;LABQUIFAR;35154.0;3.0;57000.0;21846.0;38.33;ALTO;19000.0;11718.0;7282.0
MARZO-2026;9001737;LEVOTIROXINA SODICA 88 MCG;SIEGFRIED S.A;18500.0;1.0;30000.0;11500.0;38.33;ALTO;30000.0;18500.0;11500.0
MARZO-2026;9001423;NEUROBASAL 1200 MG X 20 TAB**;INCOBRA;169000.0;13.0;274300.0;105300.0;38.39;ALTO;21100.0;13000.0;8100.0
MARZO-2026;6616;BATA MANGA LARGA ZBJ  X 10 UND;ZIBOJECT;25126.0;1.0;40800.0;15674.0;38.42;ALTO;40800.0;25126.0;15674.0
MARZO-2026;6473;POSTINOR 0.75 MG X 2 TAB;PROFAMILIA;182850.0;30.0;297000.0;114150.0;38.43;ALTO;9900.0;6095.0;3805.0
MARZO-2026;9001301;AZITROMICINA 500 MG X 3 TAB (AZIBIOTRIM);EUROFARMA;14637.0;2.0;23800.0;9163.0;38.5;ALTO;11900.0;7318.5;4581.5
MARZO-2026;9000782;LORATADINA 10 MG X 10 TAB;LA SANTE;8484.0;6.0;13800.0;5316.0;38.52;ALTO;2300.0;1414.0;886.0
MARZO-2026;6854;VASELINA 60 GR X UNIDAD;PRODUCTOS ADRIANA;143640.0;108.0;233892.0;90252.0;38.59;ALTO;2165.67;1330.0;835.67
MARZO-2026;3818;CEFALEXINA 500 MG X 300 CAPS ***;GENFAR;601200.0;6.0;979200.0;378000.0;38.6;ALTO;163200.0;100200.0;63000.0
MARZO-2026;9001248;ZIRIN 10 MG X 50 CAPS;LABORATORIOS;109240.0;2.0;178000.0;68760.0;38.63;ALTO;89000.0;54620.0;34380.0
MARZO-2026;5119;CLINDAMICINA 300 MG X 24 CAPS (CLIMBAC);LABQUIFAR;18900.0;1.0;30800.0;11900.0;38.64;ALTO;30800.0;18900.0;11900.0
MARZO-2026;1391;KRODEX F COMPUESTO X 120 ML;MEDICBRAND;181518.0;9.0;296100.0;114582.0;38.7;ALTO;32900.0;20168.67;12731.33
MARZO-2026;9001308;PIROXICAM 20 MG X 10 CAPS (PROXIGEL);COLMED;152992.0;32.0;249600.0;96608.0;38.71;ALTO;7800.0;4781.0;3019.0
MARZO-2026;6733;ESTROGENOS CONJ. 0.625 MG X 28 TAB (FEV;ABBOTT;31864.0;2.0;52000.0;20136.0;38.72;ALTO;26000.0;15932.0;10068.0
MARZO-2026;3139;APOSITO OCULAR PEDIATRICO X 20 UND;ZIBOJECT;24000.0;4.0;39200.0;15200.0;38.78;ALTO;9800.0;6000.0;3800.0
MARZO-2026;3492;OMEPRAZOL 20 MG X 300 CAPS;FARMACOL;89994.0;3.0;147000.0;57006.0;38.78;ALTO;49000.0;29998.0;19002.0
MARZO-2026;5404;CABESTRILLO TALLA L;GENERICOS;58500.0;9.0;95571.0;37071.0;38.79;ALTO;10619.0;6500.0;4119.0
MARZO-2026;6080;EXTRACTOR MATERNO CORRIENTE X UND (0378);LABORATORIOS;54469.0;14.0;89000.0;34531.0;38.8;ALTO;6357.14;3890.64;2466.5
